puzzleId,datasetMove,gpt0-move,gpt0-valid,gpt0-done,gpt1-move,gpt1-valid,gpt1-done,gpt2-move,gpt2-valid,gpt2-done,gpt-results
00JO7,h7h8,h7h8,True,True,h7h8,True,True,h7h8,True,True,True True True
00KYE,d6h2,d6d8,True,False,d6d8,True,False,d6d8,True,False,False False False
00MYL,f7b7,f7g8,True,False,f7g8,True,False,f7g8,True,False,False False False
00OPk,d6f7,d6e8,True,False,d6e8,True,False,d6e8,True,False,False False False
00OXc,f3h3,f3f1,True,False,f3f1,True,False,f3f1,True,False,False False False
00Or5,b3f7,e5f7,True,False,e5f7,True,False,e5f7,True,False,False False False
00Ozz,e1e8,f7g8,True,False,f7g8,True,False,f7g8,True,False,False False False
00P7n,g4g7,g4g7,True,True,g4g7,True,True,g4g7,True,True,True True True
00QY3,h3f1,g8h8,True,False,g8h8,True,False,g8h8,True,False,False False False
00QZV,f5f1,c6b8,True,False,c6b8,True,False,c6b8,True,False,False False False
00RoG,g4g1,d8f8,True,False,d8f8,True,False,d8f8,True,False,False False False
00SMl,d5f6,d5e7,True,True,d5e7,True,True,d5e7,True,True,True True True
00SOy,h4h1,h4h1,True,True,h4h1,True,True,h4h1,True,True,True True True
00STy,b7b6,h7h8,True,False,h7h8,True,False,h7h8,True,False,False False False
00SeK,d4g7,d4h8,True,False,d4h8,True,False,d4h8,True,False,False False False
00SfT,h5h7,h5h8,True,False,h5h8,True,False,h5h8,True,False,False False False
00T85,f2d2,f2f8,True,False,f2f8,True,False,f2f8,True,False,False False False
00VIe,a2d2,e3f4,True,False,e3f4,True,False,e3f4,True,False,False False False
00ViT,g7g5,d5a8,True,False,d5a8,True,False,d5a8,True,False,False False False
00X1l,f1f8,b3g8,True,False,b3g8,True,False,b3g8,True,False,False False False
00X2S,a5c7,e5h8,True,False,e5h8,True,False,e5h8,True,False,False False False
00Xfn,h1h8,d4h8,True,False,d4h8,True,False,d4h8,True,False,False False False
00Xiu,h4e1,h4d8,True,False,h4d8,True,False,h4d8,True,False,False False False
00Zh6,e4f6,e5f7,True,False,e5f7,True,False,e5f7,True,False,False False False
00all,c1c8,f1c4,True,False,f1c4,True,False,f1c4,True,False,False False False
00c0D,g4f2,h8g8,True,False,h8g8,True,False,h8g8,True,False,False False False
00c89,g3g7,b4c5,True,False,b4c5,True,False,b4c5,True,False,False False False
00cZ4,f4h2,f4f8,True,False,f4f8,True,False,f4f8,True,False,False False False
00d8a,d6h2,d6f8,True,False,d6f8,True,False,d6f8,True,False,False False False
00dzs,e1e8,b6d8,True,False,b6d8,True,False,b6d8,True,False,False False False
00eC6,e4f2,d8h8,True,False,d8h8,True,False,d8h8,True,False,False False False
00euQ,f6f2,f6d8,True,False,f6d8,True,False,f6d8,True,False,False False False
00f1D,c4e6,f3f8,True,False,f3f8,True,False,f3f8,True,False,False False False
00fDM,h6g7,h6h8,True,False,h6h8,True,False,h6h8,True,False,False False False
00fK0,h4h7,f6g8,True,False,f6g8,True,False,f6g8,True,False,False False False
00fXd,a7c5,a7b8,True,False,a7b8,True,False,a7b8,True,False,False False False
00fZM,h6h8,h6h8,True,True,h6h8,True,True,h6h8,True,True,True True True
00g2W,b7h1,b7c8,True,False,b7c8,True,False,b7c8,True,False,False False False
00g5t,c4f1,c4d3,True,False,c4d3,True,False,c4d3,True,False,False False False
00j1r,a2d5,d3d8,True,False,d3d8,True,False,d3d8,True,False,False False False
00jPw,h5g3,h5g7,True,False,h5g7,True,False,h5g7,True,False,False False False
00k4u,g5g2,g8h8,True,False,g8h8,True,False,g8h8,True,False,False False False
00kT1,d3h7,d3h7,True,True,d3h7,True,True,d3h7,True,True,True True True
00mJq,c6g2,g7g8,True,False,g7g8,True,False,g7g8,True,False,False False False
00n6z,h8h4,h8g8,True,False,h8g8,True,False,h8g8,True,False,False False False
00nNa,c4e4,c7d8,True,False,c7d8,True,False,c7d8,True,False,False False False
00nlD,h4h2,e8h8,True,False,e8h8,True,False,e8h8,True,False,False False False
00ns1,f4f1,f8e8,True,False,f8e8,True,False,f8e8,True,False,False False False
00ohT,h6h1,g8f8,True,False,g8f8,True,False,g8f8,True,False,False False False
00pmn,e4e1,e4e8,True,False,e4e8,True,False,e4e8,True,False,False False False
00rIF,b8h8,b8h8,True,True,b8h8,True,True,b8h8,True,True,True True True
00rTX,h4e1,d8f8,True,False,d8f8,True,False,d8f8,True,False,False False False
00rzr,g7f8,g7h8,True,False,g7h8,True,False,g7h8,True,False,False False False
00sco,h6g7,h6f8,True,False,h6f8,True,False,h6f8,True,False,False False False
00slf,e1e8,d5g8,True,False,d5g8,True,False,d5g8,True,False,False False False
00ud8,e5e1,f6d7,True,False,f6d7,True,False,f6d7,True,False,False False False
00w1s,e1e8,h6g7,True,False,h6g7,True,False,h6g7,True,False,False False False
00wVj,a4a1,f8g8,True,False,f8g8,True,False,f8g8,True,False,False False False
00y2j,c6e8,g7h8,True,False,g7h8,True,False,g7h8,True,False,False False False
00yxD,e3h3,e3e7,True,False,e3e7,True,False,e3e7,True,False,False False False
00zDW,g5g7,e7e8,True,False,e7e8,True,False,e7e8,True,False,False False False
010Jc,c7h2,h8g8,True,False,h8g8,True,False,h8g8,True,False,False False False
0119E,f1f8,d6e8,True,False,d6e8,True,False,d6e8,True,False,False False False
012uA,e2h5,g5d8,True,False,g5d8,True,False,g5d8,True,False,False False False
016aw,g3g2,h3g2,True,False,h3g2,True,False,h3g2,True,False,False False False
016ow,b8d6,f4f5,True,False,f4f5,True,False,f4f5,True,False,False False False
0184P,d7g7,d7d8,True,False,d7d8,True,False,d7d8,True,False,False False False
018Bi,d4d8,h4d8,True,False,h4d8,True,False,h4d8,True,False,False False False
018b0,g6g7,g6h7,True,False,g6h7,True,False,g6h7,True,False,False False False
019DY,h4g3,h4d8,True,False,h4d8,True,False,h4d8,True,False,False False False
019tx,e8f7,e8h8,True,False,e8h8,True,False,e8h8,True,False,False False False
01BI2,d1d7,d8h8,True,False,d8h8,True,False,d8h8,True,False,False False False
01BKZ,f8a3,g8h6,True,False,g8h6,True,False,g8h6,True,False,False False False
01BjV,b8b1,b8h8,True,False,b8h8,True,False,b8h8,True,False,False False False
