puzzleId,datasetMove,gpt0-move,gpt0-valid,gpt0-done,gpt1-move,gpt1-valid,gpt1-done,gpt2-move,gpt2-valid,gpt2-done,gpt-results
00yxD,e3h3,e3e7,True,False,e3e7,True,False,e3e7,True,False,False False False
00zDW,g5g7,e7e8,True,False,e7e8,True,False,e7e8,True,False,False False False
010Jc,c7h2,h8g8,True,False,h8g8,True,False,h8g8,True,False,False False False
0119E,f1f8,d6e8,True,False,g1h2,True,False,d6e8,True,False,False False False
012uA,e2h5,g5d8,True,False,g5d8,True,False,g5d8,True,False,False False False
016aw,g3g2,h3c8,True,False,h3g4,True,False,h3g2,True,False,False False False
016ow,b8d6,a4a5,True,False,f4f5,True,False,b8c7,True,False,False False False
0184P,d7g7,d7d8,True,False,d7d8,True,False,d7d8,True,False,False False False
018Bi,d4d8,d4d8,True,True,h4d8,True,False,d4h8,True,False,True False False
018b0,g6g7,g6f7,True,False,g6h7,True,False,g6h7,True,False,False False False
019DY,h4g3,h4g3,True,True,h4d8,True,False,h4h3,True,False,True False False
019tx,e8f7,e8h8,True,False,e8f8,True,False,e8h8,True,False,False False False
01BI2,d1d7,d8h8,True,False,d8h8,True,False,d8h8,True,False,False False False
01BKZ,f8a3,g8h6,True,False,g8h6,True,False,d8d7,True,False,False False False
01BjV,b8b1,d6f8,True,False,d6f8,True,False,e6e5,True,False,False False False
